Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2000,13,49,71,108,165,199,185,207,168,122,73,53
2001,34,48,90,85,163,172,201,204,131,141,43,16
2002,14,63,78,105,134,205,199,186,151,116,78,56
2003,16,4,82,109,159,241,225,240,159,88,60,30
2004,27,34,55,106,138,188,200,201,168,136,59,29
2005,13,6,68,105,153,205,209,186,169,117,48,4
2006,3,14,51,102,145,195,237,168,180,136,77,34
2007,43,56,67,143,153,186,189,187,147,108,42,23
2008,38,39,60,92,158,185,200,193,141,112,63,16
2009,-2,18,63,124,170,183,205,212,166,106,78,23
2010,4,20,56,110,130,176,221,187,144,101,63,3
